
2025/02/20 (01:50:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (01:37:59) | ===> btop++ v.1.4.0
2025/02/21 (01:37:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (14:03:41) | ===> btop++ v.1.4.0
2025/02/21 (14:03:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (13:30:45) | ===> btop++ v.1.4.0
2025/02/23 (13:30:45) | WARNING: Intel GPU: Failed to initialize PMU
